,neg_model,pos_model,text
7169855,0.0017308169000000001,0.9982691999999999,Looking for a #Dedicated #Specialist- Hiring CDL-A Truckers- $1K+ per week #jobs http://t.co/z0tP1Ioi1K
8067531,0.0017311670999999999,0.99826884,"RT @UnMask3d: 2 shirt designs we offer, order now! #augmentedreality #3d #entrepreneur #art #artwork #artist… https://t.co/HfUauihwM3"
1333897,0.0017311051000000002,0.99826884,"Looking for a #Internal #Audit - Reporting Analyst, Sr. - I #jobs http://t.co/CGEqFDimhu http://t.co/itmgyfc64O"
5307646,0.0017312567999999999,0.9982687,Looking for a #Customer #Service Representative/Quality Assurance #jobs http://t.co/yBBAJEPKmF http://t.co/OUC7exeto3
2364808,0.0017316351,0.99826837,"Executive Avail-A-Search is hiring! #Automation #and Controls Engineer in #York, apply now! #jobs https://t.co/aFCrrFXaQe"
1239326,0.0017318676999999998,0.9982681000000001,Looking for a #Associate #- Mergers &amp;amp; Acquisitions #jobs http://t.co/oUdoECYF0s http://t.co/mGkveF2yPo
5176664,0.0017326197,0.9982674000000001,"#JobOpening :  Social Media Marketing Associate
#Retail - #WorkatHome #TweetMyJobs  
Apply: https://t.co/jjL9zqGzBh"
3079581,0.0017325942000000001,0.9982674000000001,"#Recruiter
#JobSearch -   #hiring #rtjobs 
Apply: https://t.co/6C2sWwtuGP"
5540430,0.0017326197,0.9982674000000001,"#JobOpening :  Social Media Marketing Associate
#Retail - #WorkatHome #TweetMyJobs  
Apply: https://t.co/jjL9zqGzBh"
2954733,0.0017325816,0.9982674000000001,"Need a #job? Project Manager needed in #Alpharetta, #GA https://t.co/YX4JOlBpFg #jobs #hiring"
2079206,0.0017326724,0.9982673000000001,Looking for a #Investment #Specialist #jobs http://t.co/v1zEUGS4ae http://t.co/apRDiBdPr1
2250054,0.0017327572,0.9982671999999999,"Looking for a #Director, #HIM (Systems and Regulatory Operations) #jobs https://t.co/cv11KZx94h"
3065717,0.0017332062,0.9982668,"Looking for a #Project #Coordinator, CTE - Marketing #jobs https://t.co/JANngzQpgH https://t.co/EIwnH3hpJb"
7017618,0.0017331954999999998,0.9982668,Looking for a #Clinician #Call Center- Psych Call Center - PRN #jobs http://t.co/0C361chTuy
6403964,0.0017333933999999999,0.9982665999999999,"#Director, #Customer Business Planning needed in #Broomfield at WhiteWave. Apply now! #jobs https://t.co/KV4vm5qTQp"
1325471,0.001733475,0.9982665000000001,Looking for a #Public #Relations Assistant: Entry Level Marketing &amp; Communications #jobs http://t.co/25DEChkQAp http://t.co/Gi3ZPUwmD1
8013213,0.0017335567,0.9982665000000001,Great #career opp w/ @HyattPhoenix #hiring Event Bartender-(On-Call) https://t.co/grmFN8VgT1  #dtphx #jobsearch
