,neg_model,pos_model,text,dist_point5
47893,0.49823952,0.5017604999999999,Cannot wait to get home and get to my car omg,0.0017604999999999427
536703,0.5017747,0.49822527,Haven't felt this great at 9am in a minute,0.0017747300000000021
200346,0.50180906,0.49819090000000005,"I went to McDonald's &amp; asked for a small milkshake and the guy tells me ""smallest size we carry is medium"" this is why America is obese",0.0018090999999999524
323932,0.50190556,0.49809444,Kaylee gets me,0.0019055599999999728
244732,0.49809033,0.5019097,Shots all around,0.0019097000000000142
93146,0.5019288,0.49807116,I got the answers 📝,0.0019288399999999872
42172,0.5019409,0.4980590999999999,One more day and then I'm up north. Lord give me strength,0.0019409000000000787
304084,0.5019513,0.49804872,Such a beautiful mess.,0.0019512799999999997
308797,0.5019725,0.49802747,logan stop,0.0019725299999999724
399712,0.50197756,0.49802244,I think I'll have to move to Washington with my uncle and start a new life. I have no reason to live in LA,0.0019775599999999893
507281,0.4979936,0.5020064000000001,Will you love me plz,0.002006400000000075
297352,0.502025,0.49797496,I just finished cleaning the oven and polishing the kitchen cabinets — feeling spiffy,0.002025039999999978
33292,0.49794197,0.502058,This close to getting another sponsor 🙌,0.0020580000000000043
390656,0.5020627000000001,0.49793732,daddy **,0.0020626799999999834
317474,0.5020882999999999,0.49791175,booshka,0.0020882500000000137
518372,0.49787152,0.5021285,I actually Met Carl Lewis at Penn Relays two years ago lol,0.0021284999999999776
446289,0.5021321,0.49786788,"Soooo, started playing Undertale. I'm liking it a lot so far. Only just reached the first town, so no spolers please",0.002132120000000015
506366,0.50213355,0.49786648,@VelezNoah @Kahne5Car Thanks so much! I'm here!,0.00213352
46789,0.49785519999999994,0.5021448000000001,create a new sound,0.0021448000000000578
390620,0.50223583,0.49776417,"Amy, my angel. I love you always ❤️",0.002235829999999994
230962,0.49775532,0.50224465,Arctic monkeys,0.002244649999999959
50292,0.50227004,0.49773,Stoked for this upcoming week.🙂👍🏼,0.0022699999999999942
152605,0.50232434,0.49767563,begrudging fuck.,0.00232437000000002
317106,0.5023472999999999,0.49765274,IM SO HAPPY MY LIFE HAS BEEN COMPLETED,0.0023472600000000177
427913,0.502352,0.49764797,Last day of thanksgiving break 😢,0.002352030000000005
433898,0.5023812,0.49761880000000003,my birthday is this sunday😩 sundays suuuuuck,0.0023811999999999722
6028,0.49760792,0.5023920999999999,Headphones firmly attached.,0.002392099999999897
321282,0.5023995,0.4976005,"Mad people told me they was gonna wear a sundress, I was told to take pics wit them.. But just I'm missing my first 3-4 classes 😣😔",0.002399499999999999
307391,0.49757937,0.50242066,Off to buy groceries! My life is so exciting!,0.0024206599999999634
