,neg_model,pos_model,text,dist_point5
156588,0.50025016,0.49974987,"RT @HDmicrojobs: 2,000 #SoundCloud Plays &amp; 1000 downloads every day for 30 days #MusicMonday https://t.co/3mtDZh7q7w https://t.co/lE7NpOFN8t",0.00025013000000001506
55982,0.50025374,0.49974626,What was your first job? #meettheteam https://t.co/QCSpF8asFm https://t.co/Pkk3YDfcSq,0.0002537400000000023
423177,0.49973809999999996,0.5002619,Win an autographed NXT t-shirt in tonight's #WWENXT Twitter Giveaway during @WWENXT on @WWENetwork! Details: http://t.co/eeNEuwBWWo,0.0002619000000000371
293981,0.50027114,0.4997288,RT @techtowndetroit: How a startup training center is rebuilding #Detroit's workforce https://t.co/2ffzVpfl0Q via @SEMStartup https://t.co/…,0.000271200000000027
347137,0.49972364,0.5002764000000001,#FoodNetwork looks to influencers to grow on Snapchat Discover. Read more: https://t.co/YznyERCAqx,0.0002764000000000655
50946,0.5002770999999999,0.4997229,RT @WSJD: Boss sent you a :)  ? Here are some guidelines for proper use of emoji in the workplace. https://t.co/wwwXoLvlwn,0.0002770999999999746
480126,0.5002789000000001,0.49972117,RT @eitansimcha: Want to know why we need trade promotion authority?  One in five jobs depends on trade. Lets get #TPA now! http://t.co/SAk…,0.0002788300000000077
264586,0.49971497,0.5002850999999999,RT @TheoHurche: 💎👓😎CHECK👀 WHO VISITS YOUR TWITTER PROFILE👀 HERE 💥🔥 http://t.co/1CPWqiPeov  👈🔥💥 Is Working!💎👓😎. http://t.co/eYq5z9Y0Z4,0.0002850999999999271
228453,0.49970374,0.50029624,"Celebrate Books at Octavofest, Learn PR with Josh Usmani &amp; New Work by Dana Depew at 78th St, all in the CAN Weekly http://t.co/MUQexHrYq8",0.00029623999999994766
480103,0.49969256,0.50030744,"Fitness entrepreneur, and beauty queen, launches Nu U Health &amp; Wealth Plan, FREE bonus workouts, http://t.co/RtmU9RoDT6 @FitFamilySA",0.0003074400000000477
349304,0.49969056,0.5003094,You're a champion at holding your position with an air of conf... More for Leo https://t.co/6ZevH3oyg0,0.0003094000000000152
327764,0.4996857,0.50031424,#Diet #Weightloss 10 Frequently Asked Questions About Enzymatic Therapy… https://t.co/Q6KWqXLo4z #Michael #Workout https://t.co/DnY9ovzuEn,0.00031424000000002117
74576,0.49967605,0.50032395,"Our business, is all about helping your business be Better. #beBetter.  #JobSquad #SquadUp  https://t.co/4Kj5fXBqTk https://t.co/KNR9dqywYf",0.00032394999999996177
96924,0.5003255999999999,0.4996744000000001,"Stimulating work by Dr. Tim Henrich &amp; Team @UCSF_ID, published in @BloodAdvances:
#NKcell activation is associated with increased #HIV transcriptional activity following allogeneic #HCT
 
open access link: https://t.co/dx0r6j1xr7

#bmtsm #transplantation #immunology #BMT https://t.co/nFqxMKLWwg",0.00032559999999992595
15123,0.49964675,0.5003532999999999,Working w/ Construction colleagues to continue refining our new school plans. Exciting!! https://t.co/AvBFKzvRIP,0.0003532999999998898
150156,0.5003562,0.49964377,"Congrats to my nearly 90 AP/IB students in macro &amp; euro. killing it as always. Keep working hard, thinking deeply. https://t.co/uwFzt8zOl2",0.0003562300000000129
213294,0.50035924,0.49964076,"FROM THE LIBRARY

Christian Prayer for Dummies
By Richard Wagner

Discover how prayer works and why you need it... http://t.co/yEmbKj65Tc",0.0003592399999999829
337859,0.5003692,0.49963084,Host Hotels and Resorts Inc $HST Position Decreased… https://t.co/nvra9EqaVs @ShareStockNews,0.0003691599999999795
170400,0.500372,0.49962804,Who is coming to join me on camera right now?&gt; #footjob #upskirts #porno https://t.co/Pj83hixGaH,0.0003719600000000045
89092,0.49962777,0.50037223,: Consider the role that technology has played in urban culture. Exploring one of more examples explore #homework https://t.co/OgGyXeBrya,0.0003722299999999734
274274,0.49962556,0.50037444,"(y) (y) Jaclyn Anne ((e)JACLYNANNED) :) Welcome — #GreaterWorks ♛♥♪♥ #marveled 
(e)GodSent247 YOU (e)GodSpeed... http://t.co/aOoob7u6UR",0.0003744399999999759
391043,0.49961314,0.5003869000000001,"@JimmyDonofrio You have heard one side of the story. Now, hear from individuals who wouldn't have a job: http://t.co/RWuElm2lOM",0.00038690000000007885
164885,0.49960950000000004,0.50039047,Do Your Business Networking The Old Fashioned Way (Video) https://t.co/Rc6Lrh6fVj,0.0003904700000000316
305124,0.49960550000000004,0.5003945,RT @FindCoolJobs: Tutoring online is one of the hottest and highest paid jobs today https://t.co/htHq2zKdgr https://t.co/fJMqzRKl5V,0.0003944999999999643
351247,0.49960550000000004,0.5003945,RT @FindCoolJobs: Tutoring online is one of the hottest and highest paid jobs today https://t.co/htHq2zKdgr https://t.co/fJMqzRKl5V,0.0003944999999999643
351249,0.49960550000000004,0.5003945,RT @FindCoolJobs: Tutoring online is one of the hottest and highest paid jobs today https://t.co/htHq2zKdgr https://t.co/fJMqzRKl5V,0.0003944999999999643
351248,0.49960550000000004,0.5003945,RT @FindCoolJobs: Tutoring online is one of the hottest and highest paid jobs today https://t.co/htHq2zKdgr https://t.co/fJMqzRKl5V,0.0003944999999999643
351250,0.49960550000000004,0.5003945,RT @FindCoolJobs: Tutoring online is one of the hottest and highest paid jobs today https://t.co/htHq2zKdgr https://t.co/fJMqzRKl5V,0.0003944999999999643
31147,0.500395,0.49960503,RT @bethanymlittle: Important work by @GIBillRights!  Veterans Groups Seek a Crackdown on Deceptive Colleges https://t.co/0563O7lCEG,0.0003949699999999945
40758,0.49959344,0.50040656,"Happy Birthday @jaredbla, Exec. Dir. of @SOAR_EKY! Announcing 600 jobs in EKy was a great way to celebrate! https://t.co/ZkWXI5Q2lv",0.00040655999999994474
449518,0.5004101,0.49958992,"RT @RenBliss: I will Give you ★35,000 ★ YouTube Views Guaranteed for $20 : Twitterking1991 - My Cheap Jobs http://t.co/Mk7PYSAk9z",0.00041007999999997935
287221,0.49956605,0.5004339,"This is important, good news for workers:  https://t.co/WTU51gS1ct",0.0004338999999999871
411773,0.50044334,0.4995567,"RT @TreatmentHerpes: “@CDCGlobal: CDC works w/global partners to effectively prevent, respond to outbreaks threatening all ppl everywhere. …",0.0004432999999999798
365221,0.50044435,0.49955565,Forever work https://t.co/bZSRiLL70a,0.00044434999999998226
115420,0.49955153,0.50044847,RT @ArthurCEvans: Proud to have @PhillyMHFA in the running for @ScattergoodFdn award. Support great work and vote here. @PhillyRecovery htt…,0.0004484700000000341
251003,0.49953824,0.50046176,RT @PRBResCouncil: A worthwhile read as #Wyleg Transportation Comm starts work to address crude-by-rail impacts. http://t.co/HylcvhH8jY via…,0.00046175999999997774
55722,0.5004622999999999,0.49953768,"RT @Now1Promotions: Ready To Drop That 🔥? Lets Work! 
https://t.co/vKjTVsZwim 
#inexpensive #quality #Now1Promo #Texas https://t.co/rHJh2ul…",0.00046232000000001605
67740,0.49950308,0.5004969,RT @NACHAOnline: Approval of Rule Establishes Third-Party Sender Registration Requirements https://t.co/6qaLPxRyqS #ACHNetwork https://t.co…,0.0004969000000000223
306075,0.5005037999999999,0.49949625,#news Survey: US Businesses Add Jobs at Slowest Pace in 3 Years: Survey: US companies add jobs at slowest pac... https://t.co/sB86N1Y2Kq,0.000503750000000025
309255,0.49948940000000003,0.50051063,Networking &amp; Deals #110: https://t.co/X12MqDzkc5 Fintie Folio Stand Case Smart Cover For Apple iPad Air 5 5th Gen … https://t.co/KNNkmIvloB,0.0005106299999999564
214235,0.49947587,0.50052416,Work flow in a bit #HEB 👍🏼,0.0005241599999999957
162205,0.50052744,0.49947256,"""By 2018, 1.2 million STEM #jobs will go unfilled."" #STEAM #STEM @CCAS_STEM #CS4all @CCAS_NEIU https://t.co/j506pxGZiJ",0.0005274399999999901
362105,0.5005387,0.49946135,@Superior_to_God... Thanks for the follow! My twitter lists and timeline are great places to network: https://t.co/LdjljcZjbx,0.0005386499999999739
34343,0.49946022,0.5005398,"We need to have more fee transparency, particularly when it comes to private equity and hedge funds....
https://t.co/rM2OLq6mdl",0.0005397999999999792
112289,0.50054044,0.49945959999999995,Global Youth Action Network is out! http://t.co/cUcm0imWfy,0.000540400000000052
34567,0.49944103,0.500559,#Workout #GetFit Follow Easy Weight Loss Help to Reduce Your Weight https://t.co/Cj9UpnlZLH https://t.co/2VIxZCfRaW #News #Fitness,0.0005589999999999762
150308,0.49943423,0.5005658,"5 Habits Of #Leaders Who Create Workspace #Culture https://t.co/C6avvx3QaI

#HR https://t.co/Qdj8VNjWB2",0.0005657999999999497
257443,0.5005659,0.49943417,DRM Steppenwolf Station - DRM In the Nest http://t.co/UYNquitB08,0.0005658299999999894
214132,0.5005659,0.49943417,DRM Steppenwolf Station - DRM In the Nest http://t.co/UYNquitB08,0.0005658299999999894
316299,0.49941486,0.50058514,RT @IsStevens: Happy Birthday to Agnes Varda! Any excuse to tweet my favourite image of a director at work https://t.co/gSxiDjSWW3,0.000585139999999984
413223,0.50062114,0.49937883,"FUNNY, Powerful New Video: ""#KeystoneXL Has a Job for You!"" http://t.co/CmFBVJpaRE   Check it out @josheidelson #NoKXL #Labor #Comedy",0.0006211700000000042
177578,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
180315,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
186009,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
181047,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
181048,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
166511,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
180029,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
180027,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
176433,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
64694,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
163388,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
166510,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
171336,0.50062144,0.49937853,"RT @DiscountWorkers: 10,000 quality YouTube views in 24 hours. High retention to increase your visibility for $18 https://t.co/ZSiZDXU2UC h…",0.0006214700000000128
