,neg_model,pos_model,text,dist_point5
425122,0.49987109999999996,0.5001289000000001,RT @THR: LAX to Build Paparazzi-Proof Terminal Facility for High-Profile Fliers https://t.co/TRze1qCp59 https://t.co/GWP0IyxPd4,0.00012890000000009838
436600,0.50013036,0.49986964,2016 Marketing Calanders https://t.co/BwoMeo9iHW,0.00013035999999999603
127434,0.49986184,0.50013816,RT @StyleFashionHub: Cool Hair Style images -  https://t.co/4oza90FokH https://t.co/p3lMMny1FC,0.00013815999999999828
120966,0.500139,0.49986099999999994,Men's Abercrombie and hollister shorts lot size 32/33 - Bid Now! Only $57.0 https://t.co/hDLRmUlQvu https://t.co/5iZScs1pa0,0.00013900000000005575
236646,0.50014305,0.499857,RT @sexuaI: Omg yes https://t.co/bqUcVtoESH,0.00014300000000000423
100044,0.49985504,0.50014496,MINI -070 COMPACT SMALL HOLDERS GARDEN TRACTOR WITH ROTAVATOR - Buy It Now! Only $1250.0 https://t.co/Oo6pWGd2pk https://t.co/4JR6ITVSr4,0.00014495999999997178
480478,0.49985164,0.50014836,Why You Should Never Start Just One Business http://t.co/NTrTNoM5d3 via @rightrelevance thanks @jraitamaa,0.00014835999999995853
128184,0.5001541,0.4998459,Just posted a photo http://t.co/x69RzCUcJF,0.00015409999999999036
201655,0.50017315,0.49982688,Excellent food AND Dr Pepper! 👏🏼 (@ Brio Tuscan Grille) on #Yelp https://t.co/mieOc9QTnM,0.00017312000000002659
17767,0.5001792,0.49982083,Vera Bradley Chanticleer Rooster Handbag Coin Purse &amp; Wallet Set Retired Design - Full rea… http://t.co/f6kG0QlhLa http://t.co/P1SATpPPDl,0.00017917000000000627
129440,0.50018203,0.49981800000000004,"Bots, Social Media, and What it Means to Crisis Management | Crisis Management http://t.co/VhpWJggUgb",0.00018199999999995997
410883,0.50018215,0.49981782,RT @BestOfBbalI: Kyrie Irving is unguardable https://t.co/VOvGxOnymT,0.00018217999999997625
232791,0.50018674,0.49981329999999996,"Glen &amp; Ivy, double the trouble double the fun. This is an amazing hot springs resort since 1860.… https://t.co/F40Kh4UhkS",0.0001867000000000396
356943,0.49979615,0.50020385,"Hi Mistress Marina 6.1kplease check out my #podcast (being positive)subscribe &amp;listen(itunes,android,via email)vis… https://t.co/xOqARTz73k",0.00020385000000000542
12578,0.49979457,0.5002054,"NEW Original HTC One S 16 GB Gray blue (Unlocked) Android Smartphone,8MP,Wifi - Full read … http://t.co/P1851VEhqk http://t.co/b0Qe9Tk2dx",0.00020540000000002223
10527,0.50020707,0.49979293,2x New 10LEDS T10 5050 Dome Index LED Lamp Bulbs Fit For Car Bulbs Light white B - Full re… http://t.co/tZQ8XNaqzx http://t.co/9IQ1gJGQ9W,0.00020706999999997588
498431,0.5002121,0.49978793,"My Top 3 #lastfm Artists: Hotel Books (13), A$AP Rocky (11) &amp; Muse (10) http://t.co/GZfkiNSztM",0.00021207000000000864
253109,0.49978128,0.50021875,Very blessed to have met all these amazing girls this week💞 #girlsstate #LAGS2014 #tensas http://t.co/hfohn3rXVN,0.0002187500000000453
122376,0.49978086,0.50021917,"Can’t afford tax help💰
Contact IRS for VITA &amp; TCE, Free tax help for those that qualify.
Not the best, but it’s free!🎲🎲",0.00021917000000004627
489349,0.5002194000000001,0.49978059999999996,The 'No No List' of Artificial Ingredients: Good for You or Just Good PR? http://t.co/J3w1XbFVXK via @TakePart,0.00021940000000003623
289677,0.5002194999999999,0.4997805,Check Out Tamar Braxton With “Silent Night” http://t.co/YWSMbvh3pi #fb,0.0002194999999999836
86257,0.49977976,0.50022024,RT @OshikanRelation: RT https://t.co/L0o0WmkhET RT GMEAgency: Got a New #Vevo or #YouTube video? Get it #Viral with #FameViews … https://t.…,0.00022023999999998267
518470,0.49977714,0.5002229,Your current desire to expand your world view makes this a fan... More for Capricorn http://t.co/mJwPKmPLCy,0.00022290000000002586
481215,0.5002251,0.49977493,"2015 Chevrolet TRAVERSE Rapid City Car-For-Sale, SD #W7541: http://t.co/UqcOCzO8eh via @YouTube",0.00022506999999999389
53738,0.49977195,0.5002281,Watching for flying reindeer... https://t.co/gSC437gb3x,0.00022809999999995334
326295,0.50023013,0.49976984,Halt Fracking During California Water Crisis http://t.co/quMw2RmmRM via @ForceChange,0.00023015999999997927
376190,0.49976972,0.50023025,Reclaim Your Time by Eliminating Time-wasting Pitfalls   https://t.co/c94vSRXNR9 https://t.co/cOThsZkdHa,0.0002302499999999874
415800,0.5002303,0.49976970000000004,11 Reasons You Need A Social Media Management Tool https://t.co/pAGGhjGQdE #SocialMediaManagement #SocialMediaMarketing,0.0002302999999999611
